PMP,CATEGORÍA,SERVICIO,EQUIPO,MARCA,MODELO,SERIE,NIC,Nuevo NIC (Transición),FRECUENCIA,MANTENIMIENTO INTERNO O MANTENIMIENTO EXTERNO O CONTRATO,PROVEEDOR,FP,PLANILLA MINSAL (LPF),SITUACIÓN (LPF),ESTADO,FORMATO PROTOCOLO (NICOLE),N° GS (NICOLE),FECHA (NICOLE),OBSERVACIÓN MANTENIMIENTO,FECHA REPROGRAMACIÓN,OBERVACIÓN PROGRAMACIÓN,MEMORANDO A CALIDAD,,,,,
2025-1,EC,NEONATOLOGÍA,VENTILADOR MECÁNICO NEONATAL,SLE LIMITED,SLE 5000,55184,VM017-12,VM017-12,2,INTERNO,EEMM,4-abril,NO,EJECUTADO,6. CERRADO,DIGITAL,6668,28-5-2025,Equipo operativo,,,,,,,,
2025-1,EC,NEONATOLOGÍA,VENTILADOR MECÁNICO NEONATAL,SLE LIMITED,SLE 5000,55185,VM018-12,VM018-12,2,INTERNO,EEMM,4-abril,NO,EJECUTADO,6. CERRADO,DIGITAL,6670,28-5-2025,Equipo operativo,,,,,,,,
2025-1,EC,NEONATOLOGÍA,VENTILADOR MECÁNICO NEONATAL,SLE LIMITED,SLE 5000,55186,VM019-12,VM019-12,2,INTERNO,EEMM,4-abril,NO,EJECUTADO,6. CERRADO,DIGITAL,6672,18-05-2025,Equipo operativo,,,,,,,,
2025-1,EC,NEONATOLOGÍA,VENTILADOR MECÁNICO NEONATAL,SLE LIMITED,SLE 5000,55188,VM020-12,VM020-12,2,INTERNO,EEMM,4-abril,NO,EJECUTADO,6. CERRADO,DIGITAL,6673,28-05-2025,Equipo operativo,,,,,,,,
2025-1,EC,UCE,VENTILADOR MECÁNICO NO INVASIVO,HAMILTON,C1,1416,VM021-12,VM021-12,2,INTERNO,EEMM,4-abril,NO,EJECUTADO,6. CERRADO,DIGITAL,6667,24-5-2025,Equipo operativo,,,,,,,,
2025-1,EC,UCE,VENTILADOR MECÁNICO NO INVASIVO,HAMILTON,C1,1383,VM022-12,VM022-12,2,INTERNO,EEMM,4-abril,NO,NE - SERVICIO TÉCNICO,6. CERRADO,,6666,30-05-2025,"Equipo NO OPERATIVO, se ecnuentra en ST Imédica",,,,,,,,
2025-1,EC,UCE,VENTILADOR MECÁNICO NO INVASIVO,HAMILTON,C1,1389,VM023-12,VM023-12,2,INTERNO,EEMM,4-abril,NO,EJECUTADO,6. CERRADO,DIGITAL,6527,19-5-2025,Equipo operativo,,,,,,,,
2025-1,EC,UCI,VENTILADOR MECÁNICO NO INVASIVO,HAMILTON,C1,4230,VM024-13,VM024-13,2,INTERNO,EEMM,4-abril,NO,EJECUTADO,6. CERRADO,DIGITAL,6659,19-05-2025,Equipo operativo,,,,,,,,
2025-1,EC,UCP PEDIÁTRICOS,VENTILADOR MECÁNICO DE TRANSPORTE,HAMILTON,T1,3071,VM025-14,VM025-14,2,INTERNO,EEMM,4-abril,NO,EJECUTADO,6. CERRADO,DIGITAL,6660,17-05-2025,Equipo operativo,,,,,,,,
2025-1,EC,UCP PEDIÁTRICOS,VENTILADOR MECÁNICO INVASIVO,HAMILTON,C3,2028,VM026-15,VM026-15,2,INTERNO,EEMM,4-abril,NO,EJECUTADO,6. CERRADO,DIGITAL,6661,24-05-2025,Equipo operativo,,,,,,,,
2025-1,EC,UCP PEDIÁTRICOS,VENTILADOR MECÁNICO INVASIVO,HAMILTON,C3,2029,VM027-16,VM027-16,2,INTERNO,EEMM,4-abril,NO,EJECUTADO,6. CERRADO,DIGITAL,6662,19-05-2025,Equipo operativo,,,,,,,,
2025-1,EC,UCP PEDIÁTRICOS,VENTILADOR MECÁNICO INVASIVO,HAMILTON,C3,2032,VM028-15,VM028-15,2,INTERNO,EEMM,4-abril,NO,EJECUTADO,6. CERRADO,DIGITAL,6663,17-05-2025,Equipo operativo,,,,,,,,
2025-1,EC,URGENCIA,VENTILADOR MECÁNICO DE TRANSPORTE,HAMILTON,T1,7712,VM029-18,VM029-18,2,INTERNO,EEMM,4-abril,NO,EJECUTADO,6. CERRADO,DIGITAL,6675,28-05-2025,Equipo operativo,,,,,,,,
2025-1,EC,UCI,VENTILADOR MECÁNICO INVASIVO,HAMILTON,C6,6020,VM030-21,VM030-21,2,INTERNO,EEMM,4-abril,NO,EJECUTADO,6. CERRADO,DIGITAL,6546,17-05-2025,Equipo operativo,,,,,,,,
2025-1,EC,UCI,VENTILADOR MECÁNICO INVASIVO,HAMILTON,C6,6067,VM031-21,VM031-21,2,INTERNO,EEMM,4-abril,NO,EJECUTADO,6. CERRADO,DIGITAL,6547,17-05-2025,Equipo operativo,,,,,,,,
2025-1,EC,UCI,VENTILADOR MECÁNICO INVASIVO,HAMILTON,C6,5537,VM032-21,VM032-21,2,INTERNO,EEMM,4-abril,NO,EJECUTADO,6. CERRADO,DIGITAL,6548,17/05/25,Equipo operativo,,,,,,,,
2025-1,EC,UCI,VENTILADOR MECÁNICO INVASIVO,HAMILTON,C6,6011,VM033-21,VM033-21,2,INTERNO,EEMM,4-abril,NO,EJECUTADO,6. CERRADO,DIGITAL,6549,17-05-2025,Equipo operativo,,,,,,,,
2025-1,EC,UCI,VENTILADOR MECÁNICO INVASIVO,HAMILTON,C6,6032,VM034-21,VM034-21,2,INTERNO,EEMM,4-abril,NO,EJECUTADO,6. CERRADO,DIGITAL,6674,18-05-2025,"Equipo sin pantalla, a la espera de recepción de pantalla para que puyeda ser utilziado, mantneimiento se realiza a la base del equipo",,,,,,,,
2025-1,EC,UCI,VENTILADOR MECÁNICO INVASIVO,HAMILTON,C6,6010,VM036-21,VM036-21,2,INTERNO,EEMM,4-abril,NO,EJECUTADO,6. CERRADO,DIGITAL,6652,28-5-2025,Equipo operativo,,,,,,,,
2025-1,EC,UCI,VENTILADOR MECÁNICO INVASIVO,HAMILTON,C6,6047,VM037-21,VM037-21,2,INTERNO,EEMM,4-abril,NO,EJECUTADO,6. CERRADO,DIGITAL,6651,26-5-2025,Equipo operativo,,,,,,,,
2025,EC,OBSTETRICIA Y GINECOLOGÍA,MONITOR CARDIOFETAL,GENERAL ELECTRIC,COROMETRICS 172,SAS12048376PA,MC001-12,MC001-12,1,INTERNO,EEMM,5-mayo,NO,EJECUTADO,6. CERRADO,DIGITAL,6509,31-5-2025,Equipo operativo,,,,,,,,
2025,EC,OBSTETRICIA Y GINECOLOGÍA,MONITOR CARDIOFETAL,GENERAL ELECTRIC,COROMETRICS 172,SAS12048385PA,MC002-12,MC002-12,1,INTERNO,EEMM,5-mayo,NO,EJECUTADO,6. CERRADO,DIGITAL,6684,31-05-2025,Equipo operativo,,,,,,,,
2025,EC,OBSTETRICIA Y GINECOLOGÍA,MONITOR CARDIOFETAL,GENERAL ELECTRIC,COROMETRICS 172,SAS12058504PA,MC003-12,MC003-12,1,INTERNO,EEMM,5-mayo,NO,EJECUTADO,6. CERRADO,DIGITAL,6683,31-5-2025,Equipo operativo,,,,,,,,
2025,EC,PARTOS,MONITOR CARDIOFETAL,General Electric,Corometrics 172,SAS12048367PA,MC004-12,MC004-12,1,INTERNO,EEMM,5-mayo,NO,EJECUTADO,6. CERRADO,DIGITAL,6512,31-05-2025,Equipo operativo,,,,,,,,
2025,EC,PARTOS,MONITOR CARDIOFETAL,GENERAL ELECTRIC,COROMETRICS 172,SAS12058501PA,MC005-12,MC005-12,1,INTERNO,EEMM,5-mayo,NO,EJECUTADO,6. CERRADO,DIGITAL,6513,31-05-2025,Equipo operativo,,,,,,,,
2025,EC,PARTOS,MONITOR CARDIOFETAL,General Electric,Corometrics 172,SAS12058505PA,MC006-12,MC006-12,1,INTERNO,EEMM,5-mayo,NO,EJECUTADO,6. CERRADO,DIGITAL,6514,31-05-2025,Equipo operativo,,,,,,,,
2025,EC,PARTOS,MONITOR CARDIOFETAL,GENERAL ELECTRIC,COROMETRICS 172,SAS12058506PA,MC007-12,MC007-12,1,INTERNO,EEMM,5-mayo,NO,EJECUTADO,6. CERRADO,DIGITAL,6515,31-05-2025,Equipo operativo,,,,,,,,
2025,EC,PARTOS (OBSTETRICIA),MONITOR CARDIOFETAL,GENERAL ELECTRIC,COROMETRICS 172,SAS12058507PA,MC008-12,MC008-12,1,INTERNO,EEMM,5-mayo,NO,EJECUTADO,6. CERRADO,DIGITAL,6517,31-05-2025,Equipo operativo,,,,,,,,
2025,EC,PARTOS,MONITOR CARDIOFETAL,GENERAL ELECTRIC,COROMETRICS 172,SAS12058509PA,MC009-12,MC009-12,1,INTERNO,EEMM,5-mayo,NO,NE - SUGERIDO A LA BAJA,6. CERRADO,,6516,31-05-2025,Equipo NO OPERATIVO,,,,,,,,
2025,EC,PENSIONADO,MONITOR CARDIOFETAL,GENERAL ELECTRIC,COROMETRICS 172,SAS12048380PA,MC010-23,MC010-23,1,INTERNO,EEMM,5-mayo,NO,EJECUTADO,6. CERRADO,DIGITAL,6680,30-05-2025,Equipo operativo,,,,,,,,
2025,EC,PENSIONADO,MONITOR CARDIOFETAL,GENERAL ELECTRIC,COROMETRICS 172,SAS12048391PA,MC011-13,MC011-13,1,INTERNO,EEMM,5-mayo,NO,EJECUTADO,6. CERRADO,DIGITAL,6520,31-05-2025,Equipo operativo,,,,,,,,
2025,EC,URGENCIA OBSTÉTRICA,MONITOR CARDIOFETAL,MEDIANA,FM20,AGG90028,MC012-16,MC012-16,1,INTERNO,EEMM,5-mayo,NO,EJECUTADO,6. CERRADO,DIGITAL,6521,31-05-2025,Equipo operativo,,,,,,,,
2025,EC,URGENCIA OBSTÉTRICA,MONITOR CARDIOFETAL,MEDIANA,FM20,AGG90037,MC013-16,MC013-16,1,INTERNO,EEMM,5-mayo,NO,EJECUTADO,6. CERRADO,DIGITAL,6522,31-05-2025,Equipo operativo,,,,,,,,
2025,EC,URGENCIA OBSTÉTRICA,MONITOR CARDIOFETAL,MEDIANA,FM20,AGG90047,MC014-16,MC014-16,1,INTERNO,EEMM,5-mayo,NO,EJECUTADO,6. CERRADO,DIGITAL,6525,31-05-2025,Equipo operativo,,,,,,,,
2025,EC,URGENCIA OBSTÉTRICA,MONITOR CARDIOFETAL,MEDIANA,FM20,AGG90050,MC015-16,MC015-16,1,INTERNO,EEMM,5-mayo,NO,EJECUTADO,6. CERRADO,DIGITAL,6526,31-05-2025,Equipo operativo,,,,,,,,
2025,EC,CDT - POLICLÍNICO GINECOLOGÍA,MONITOR CARDIOFETAL,TOITU,MT-516,M011017,MC016-18,MC016-18,1,INTERNO,EEMM,5-mayo,NO,EJECUTADO,6. CERRADO,DIGITAL,6507,31-05-2025,Equipo operativo,,,,,,,,
2025,EC,CDT - POLICLÍNICO GINECOLOGÍA,MONITOR CARDIOFETAL,TOITU,MT-516,M011019,MC017-18,MC017-18,1,INTERNO,EEMM,5-mayo,NO,EJECUTADO,6. CERRADO,DIGITAL,6508,31-05-2025,Equipo operativo,,,,,,,,
2025-1,EC,UCP PEDIÁTRICOS,MONITOR MULTIPARÁMETROS ALTA COMPLEJIDAD,PHILIPS,INTELLIVUE MP20,DE-72834500,MM001-08,MM001-08,2,EXTERNO,TDM,5-mayo,NO,EJECUTADO,6. CERRADO,FÍSICO,TDM 22,17-04-2025,Equipo operativo,,,,,,,,
2025-1,EC,UCP PEDIÁTRICOS,MONITOR MULTIPARÁMETROS ALTA COMPLEJIDAD,PHILIPS,INTELLIVUE MP20,DE-72838691,MM002-08,MM002-08,2,EXTERNO,TDM,5-mayo,NO,EJECUTADO,6. CERRADO,FÍSICO,TDM 20,15-05-2025,Equipo operativo,,,,,,,,
2025-1,EC,UCP PEDIÁTRICOS,MONITOR MULTIPARÁMETROS ALTA COMPLEJIDAD,PHILIPS,INTELLIVUE MP20,DE-72865632,MM003-08,MM003-08,2,EXTERNO,TDM,5-mayo,NO,EJECUTADO,6. CERRADO,FÍSICO,TDM 21,16-4-2025,Equipo operativo,,,,,,,,
2025-1,EC,UCP PEDIÁTRICOS,MONITOR MULTIPARÁMETROS ALTA COMPLEJIDAD,PHILIPS,INTELLIVUE MP20,DE72865630,MM004-08,MM004-08,2,EXTERNO,TDM,5-mayo,NO,EJECUTADO,6. CERRADO,FÍSICO,TDM 18,17-04-2025,Equipo operativo,,,,,,,,
2025-1,EC,UCP PEDIÁTRICOS,MONITOR MULTIPARÁMETROS ALTA COMPLEJIDAD,PHILIPS,INTELLIVUE MP20,DE-62221599,MM005-08,MM005-08,2,EXTERNO,TDM,5-mayo,NO,EJECUTADO,6. CERRADO,FÍSICO,TDM 21,16 abril,Equipo operativo,,,,,,,,
2025-1,EC,UCP PEDIÁTRICOS,MONITOR MULTIPARÁMETROS ALTA COMPLEJIDAD,PHILIPS,INTELLIVUE MP20,DE-72838666,MM007-08,MM007-08,2,EXTERNO,TDM,5-mayo,NO,EJECUTADO,6. CERRADO,FÍSICO,TDM 22,17-04-2025,Equipo operativo,,,,,,,,
2025-1,EC,TRAUMATOLOGÍA,MONITOR MULTIPARÁMETROS MEDIANA COMPLEJIDAD,NIHON KOHDEN,Vismo,102872,MM012-12,MM012-12,2,INTERNO,EEMM,5-mayo,NO,EJECUTADO,6. CERRADO,DIGITAL,6448,19-04-2025,Equipo operativo,,,,,,,,
2025-1,EC,TRAUMATOLOGÍA,MONITOR MULTIPARÁMETROS MEDIANA COMPLEJIDAD,NIHON KOHDEN,Vismo,102902,MM013-12,MM013-12,2,INTERNO,EEMM,5-mayo,NO,EJECUTADO,6. CERRADO,DIGITAL,6450,19-04-2025,Equipo operativo,,,,,,,,
2025-1,EC,TRAUMATOLOGÍA,MONITOR MULTIPARÁMETROS MEDIANA COMPLEJIDAD,NIHON KOHDEN,Vismo,102898,MM014-12,MM014-12,2,INTERNO,EEMM,5-mayo,NO,EJECUTADO,6. CERRADO,DIGITAL,6598,19-4-2025,Equipo operativo,,,,,,,,
2025-1,EC,TRAUMATOLOGÍA,MONITOR MULTIPARÁMETROS MEDIANA COMPLEJIDAD,NIHON KOHDEN,Vismo,102897,MM015-12,MM015-12,2,INTERNO,EEMM,5-mayo,NO,EJECUTADO,6. CERRADO,DIGITAL,6449,19-4-2025,Equipo operativo,,,,,,,,
2025-1,EC,PABELLÓN QUIRÚRGICO AMBULATORIO,MONITOR MULTIPARÁMETROS MEDIANA COMPLEJIDAD,PHILIPS,Efficia CM120,CN54507575,MM016-18,MM016-18,2,INTERNO,EEMM,5-mayo,NO,EJECUTADO,6. CERRADO,DIGITAL,6585,28-04-2025,Equipo operativo,,,,,,,,
2025-1,EC,PABELLÓN QUIRÚRGICO AMBULATORIO,MONITOR MULTIPARÁMETROS MEDIANA COMPLEJIDAD,PHILIPS,Efficia CM120,CN54507577,MM017-18,MM017-18,2,EXTERNO,TDM,5-mayo,NO,EJECUTADO,6. CERRADO,FÍSICO,TDM 18,24-04-2025,Equipo operativo,,,,,,,,
2025-1,EC,PABELLÓN QUIRÚRGICO AMBULATORIO,MONITOR MULTIPARÁMETROS MEDIANA COMPLEJIDAD,PHILIPS,Efficia CM120,CN54507579,MM018-18,MM018-18,2,EXTERNO,TDM,5-mayo,NO,EJECUTADO,6. CERRADO,FÍSICO,TDM 17,25-04-2025,Equipo operativo,,,,,,,,
2025-1,EC,PABELLÓN QUIRÚRGICO AMBULATORIO,MONITOR MULTIPARÁMETROS MEDIANA COMPLEJIDAD,PHILIPS,Efficia CM120,CN54507581,MM019-18,MM019-18,2,EXTERNO,TDM,5-mayo,NO,EJECUTADO,6. CERRADO,FÍSICO,TDM 16,27-05-2025,Equipo operativo,,,,,,,,
2025-1,EC,PABELLÓN QUIRÚRGICO AMBULATORIO,MONITOR MULTIPARÁMETROS MEDIANA COMPLEJIDAD,PHILIPS,Efficia CM120,CN54507582,MM020-18,MM020-18,2,EXTERNO,TDM,5-mayo,NO,EJECUTADO,6. CERRADO,FÍSICO,TDM 18,25-04-2025,Equipo operativo,,,,,,,,
2025-1,EC,PABELLÓN QUIRÚRGICO AMBULATORIO,MONITOR MULTIPARÁMETROS MEDIANA COMPLEJIDAD,PHILIPS,Efficia CM120,CN54507583,MM021-18,MM021-18,2,EXTERNO,TDM,5-mayo,NO,EJECUTADO,6. CERRADO,FÍSICO,TDM 15,27-05-2025,Equipo operativo,,,,,,,,
2025-1,EC,UCP PEDIÁTRICOS,MONITOR MULTIPARÁMETROS ALTA COMPLEJIDAD,PHILIPS,INTELLIVUE MP20,DE-72838661,MM024-08,MM024-08,2,EXTERNO,TDM,5-mayo,NO,EJECUTADO,6. CERRADO,FÍSICO,TDM 24,22-4-2025,Equipo operativo,,,,,,,,
2025-1,EC,UCP PEDIÁTRICOS,MONITOR MULTIPARÁMETROS ALTA COMPLEJIDAD,PHILIPS,INTELLIVUE MP20,DE-72865627,MM025-08,MM025-08,2,EXTERNO,TDM,5-mayo,NO,EJECUTADO,6. CERRADO,FÍSICO,TDM 20,15-05-2025,Equipo operativo,,,,,,,,
2025-1,EC,UCP PEDIÁTRICOS,MONITOR MULTIPARÁMETROS ALTA COMPLEJIDAD,PHILIPS,INTELLIVUE MX700,DE12526423,MM026-15,MM026-15,2,EXTERNO,TDM,5-mayo,NO,EJECUTADO,6. CERRADO,FÍSICO,TDM 19,16-4-2025,"Se sugiere reemplazo de batería, equipo operativo",,,,,,,,
2025-1,EC,UCP PEDIÁTRICOS,MONITOR MULTIPARÁMETROS ALTA COMPLEJIDAD,PHILIPS,INTELLIVUE MX700,DE12526468,MM027-15,MM027-15,2,EXTERNO,TDM,5-mayo,NO,EJECUTADO,6. CERRADO,FÍSICO,TDM 19,14-04-2025,"Se sugiere reemplazo de batería, equipo operativo",,,,,,,,
2025-1,EC,UCP PEDIÁTRICOS,MONITOR MULTIPARÁMETROS ALTA COMPLEJIDAD,PHILIPS,INTELLIVUE MX700,DE12526489,MM028-15,MM028-15,2,EXTERNO,TDM,5-mayo,NO,EJECUTADO,6. CERRADO,FÍSICO,TDM 19,16-5-2025,Equipo operativo,,,,,,,,
2025-1,EC,PABELLÓN QUIRÚRGICO AMBULATORIO,MONITOR MULTIPARÁMETROS BAJA COMPLEJIDAD,Welch Allyn,6000 Series,103000153893,MM038-23(D),MM038-23(D),2,INTERNO,EEMM,5-mayo,NO,EJECUTADO,6. CERRADO,DIGITAL,6583,28-04-2025,Equipo operativo,,,,,,,,
2025-1,EC,CDT - POLIBRONCOPULMONAR,MONITOR MULTIPARÁMETROS BAJA COMPLEJIDAD,Welch Allyn,6000 Series,103002433813,MM048-23(D),MM048-23(D),2,INTERNO,EEMM,5-mayo,NO,EJECUTADO,6. CERRADO,FÍSICO,6537,19-05-2025,Equipo operativo,,,,,,,,
2025-1,EC,CDT - DOLOR,MONITOR MULTIPARÁMETROS DE TRANSPORTES,COMEN,C30,K3220225011,MM050-23,MM050-23,2,GARANTIA,PTM,5-mayo,NO,EJECUTADO,6. CERRADO,FÍSICO,230,17-6-2025,Equipo NO OPERATIVO,,,,,,,,
2025-1,EC,SALUD MENTAL - HOSPITAL DÍA,MONITOR MULTIPARÁMETROS BAJA COMPLEJIDAD,Welch Allyn,6000 Series,103002363813,MM127-23(D),MM127-23(D),2,INTERNO,EEMM,5-mayo,NO,EJECUTADO,6. CERRADO,DIGITAL,6556,24-04-2025,Equipo operativo,,,,,,,,
2025-1,EC,SALUD MENTAL - HOSPITAL DÍA,MONITOR MULTIPARÁMETROS BAJA COMPLEJIDAD,Welch Allyn,6000 Series,103000593813,MM128-23(D),MM128-23(D),2,INTERNO,EEMM,5-mayo,NO,EJECUTADO,6. CERRADO,DIGITAL,6555,23-04-2025,Equipo operativo,,,,,,,,
2025-1,EC,SALUD MENTAL - HOSPITAL DÍA,MONITOR MULTIPARÁMETROS BAJA COMPLEJIDAD,Welch Allyn,6000 Series,103002163813,MM129-23(D),MM129-23(D),2,INTERNO,EEMM,5-mayo,NO,EJECUTADO,6. CERRADO,DIGITAL,6554,23-04-2025,Equipo operativo,,,,,,,,
2025-1,EC,SALUD MENTAL - HOSPITAL DÍA,MONITOR MULTIPARÁMETROS BAJA COMPLEJIDAD,Welch Allyn,6000 Series,103001883813,MM130-23(D),MM130-23(D),2,INTERNO,EEMM,5-mayo,NO,EJECUTADO,6. CERRADO,DIGITAL,6590,24 abril,Equipo operativo,,,,,,,,
2025-1,EC,URGENCIA OBSTÉTRICA,MONITOR MULTIPARÁMETROS BAJA COMPLEJIDAD,Welch Allyn,6000 Series,103002473813,MM131-23(D),MM131-23(D),2,INTERNO,EEMM,5-mayo,NO,EJECUTADO,6. CERRADO,DIGITAL,6593,30-04-2025,Equipo operativo,,,,,,,,
2025-1,EC,URGENCIA OBSTÉTRICA,MONITOR MULTIPARÁMETROS BAJA COMPLEJIDAD,Welch Allyn,6000 Series,103001903813,MM132-23(D),MM132-23(D),2,INTERNO,EEMM,5-mayo,NO,EJECUTADO,6. CERRADO,DIGITAL,6592,30-4-2025,Equipo operativo,,,,,,,,
2025-1,EC,URGENCIA OBSTÉTRICA,MONITOR MULTIPARÁMETROS BAJA COMPLEJIDAD,Welch Allyn,6000 Series,103000573813,MM133-23(D),MM133-23(D),2,INTERNO,EEMM,5-mayo,NO,EJECUTADO,6. CERRADO,DIGITAL,6594,30-04-2025,Equipo operativo,,,,,,,,
2025-1,EC,CIRUGIA,MONITOR MULTIPARÁMETROS MEDIANA COMPLEJIDAD,NIHON KOHDEN,Vismo,102903,MM150-12,MM150-12,2,INTERNO,EEMM,5-mayo,NO,EJECUTADO,6. CERRADO,DIGITAL,6523,13-05-2025,Equipo operativo (Sin cable ECG),,,,,,,,
2025-1,EC,CIRUGIA,MONITOR MULTIPARÁMETROS MEDIANA COMPLEJIDAD,NIHON KOHDEN,Vismo,102900,MM151-12,MM151-12,2,INTERNO,EEMM,5-mayo,NO,EJECUTADO,6. CERRADO,DIGITAL,6519,12-05-2025,Equipo operativo,,,,,,,,
2025-1,EC,CDT - IMUNOLOGIA,MONITOR MULTIPARÁMETROS MEDIANA COMPLEJIDAD,PHILIPS,Efficia CM100,CN54507121,MM156-16,MM156-16,2,INTERNO,EEMM,5-mayo,NO,EJECUTADO,6. CERRADO,FÍSICO,6595,24-4-2025,Equipo operativo,,,,,,,,
2025-1,EC,CDT - ENDOSCOPÍA,MONITOR MULTIPARÁMETROS MEDIANA COMPLEJIDAD,PHILIPS,Efficia CM120,CN54507574,MM157-18,MM157-18,2,INTERNO,EEMM,5-mayo,NO,EJECUTADO,6. CERRADO,DIGITAL,6596,6-5-2025,"Equipo con pantalla tactil no operativa, equipo operativo",,,,,,,,
2025-1,EC,CIRUGIA,MONITOR MULTIPARÁMETROS MEDIANA COMPLEJIDAD,PHILIPS,Efficia CM100,CN92351843,MM158-20,MM158-20,2,INTERNO,EEMM,5-mayo,NO,EJECUTADO,6. CERRADO,DIGITAL,6524,13-05-2025,Equipo operativo,,,,,,,,
2025-1,EC,CIRUGIA,MONITOR MULTIPARÁMETROS MEDIANA COMPLEJIDAD,PHILIPS,Efficia CM100,CN92351845,MM159-20,MM159-20,2,INTERNO,EEMM,5-mayo,NO,EJECUTADO,6. CERRADO,DIGITAL,6584,7-5-2025,Equipo operativo (Se cambia cable ECG),,,,,,,,
2025-1,EC,CDT,MONITOR MULTIPARÁMETROS BAJA COMPLEJIDAD,NORTHER,AQUIARIUS,G1119257,MM164-18,MM164-18,2,EXTERNO,TDM,5-mayo,NO,EJECUTADO,6. CERRADO,FÍSICO,TDM 15,25-4-2025,Equipo operativo,,,,,,,,
2025-1,EC,CDT,MONITOR MULTIPARÁMETROS BAJA COMPLEJIDAD,NORTHER,AQUIARIUS,G1119258,MM165-18,MM165-18,2,EXTERNO,TDM,5-mayo,NO,EJECUTADO,6. CERRADO,FÍSICO,TDM 15,26 mayo,Equipo operativo,,,,,,,,
2025-1,EC,CDT,MONITOR MULTIPARÁMETROS BAJA COMPLEJIDAD,NORTHER,AQUIARIUS,G1119265,MM166-18,MM166-18,2,EXTERNO,TDM,5-mayo,NO,EJECUTADO,6. CERRADO,FÍSICO,TDM 15,22-04-2025,Equipo operativo,,,,,,,,
2025-1,EC,CDT,MONITOR MULTIPARÁMETROS BAJA COMPLEJIDAD,NORTHER,AQUIARIUS,G1119268,MM167-18,MM167-18,2,EXTERNO,TDM,5-mayo,NO,EJECUTADO,6. CERRADO,FÍSICO,TDM 15,24-04-2025,Equipo operativo,,,,,,,,
2025-1,EC,CDT,MONITOR MULTIPARÁMETROS BAJA COMPLEJIDAD,NORTHER,AQUIARIUS,G1119270,MM168-18,MM168-18,2,EXTERNO,TDM,5-mayo,NO,EJECUTADO,6. CERRADO,FÍSICO,TDM 16,22-04-2025,"Se sugiere reemplazo de cable de poder, equipo operativo",,,,,,,,
2025-1,EC,CDT,MONITOR MULTIPARÁMETROS BAJA COMPLEJIDAD,NORTHER,AQUIARIUS,G1119274,MM169-18,MM169-18,2,EXTERNO,TDM,5-mayo,NO,EJECUTADO,6. CERRADO,FÍSICO,TDM 15,23-04-2025,"Requiere cambio de batería, equipo operativo",,,,,,,,
2025-1,EC,CDT,MONITOR MULTIPARÁMETROS BAJA COMPLEJIDAD,NORTHER,AQUIARIUS,G1119275,MM170-18,MM170-18,2,EXTERNO,TDM,5-mayo,NO,EJECUTADO,6. CERRADO,FÍSICO,TDM 16,29-05-2025,Equipo operativo,,,,,,,,
2025-1,EC,CDT - CARDIOLOGIA,MONITOR MULTIPARÁMETROS BAJA COMPLEJIDAD,NORTHER,AQUIARIUS,G1119273,MM171-18,MM171-18,2,EXTERNO,TDM,5-mayo,NO,EJECUTADO,6. CERRADO,FÍSICO,TDM 16,27-5-2025,Equipo operativo,,,,,,,,
2025-1,EC,CDT - ENDOSCOPÍA,MONITOR MULTIPARÁMETROS BAJA COMPLEJIDAD,NORTHER,AQUIARIUS,G1119259,MM172-18,MM172-18,2,EXTERNO,TDM,5-mayo,NO,EJECUTADO,6. CERRADO,DIGITAL,TDM 19,23-4-2025,"Requiere cambio de batería, equipo operativo",,,,,,,,
2025-1,EC,CDT - NEUROLOGIA,MONITOR MULTIPARÁMETROS BAJA COMPLEJIDAD,NORTHER,AQUIARIUS,G1119261,MM173-18,MM173-18,2,EXTERNO,TDM,5-mayo,NO,EJECUTADO,6. CERRADO,FÍSICO,TDM 16,24-04-2025,Equipo operativo,,,,,,,,
2025-1,EC,CDT - NUTRICIONISTA,MONITOR MULTIPARÁMETROS BAJA COMPLEJIDAD,NORTHER,AQUIARIUS,G1119256,MM174-18,MM174-18,2,EXTERNO,TDM,5-mayo,NO,EJECUTADO,6. CERRADO,FÍSICO,TDM 15,23-04-2025,Equipo operativo,,,,,,,,
2025-1,EC,CDT - OFTALMOLOGIA,MONITOR MULTIPARÁMETROS BAJA COMPLEJIDAD,NORTHER,AQUIARIUS,G1119272,MM175-18,MM175-18,2,EXTERNO,TDM,5-mayo,NO,EJECUTADO,6. CERRADO,FÍSICO,TDM 15,24-04-2025,Equipo operativo,,,,,,,,
2025-1,EC,CDT - ORL,MONITOR MULTIPARÁMETROS BAJA COMPLEJIDAD,NORTHER,AQUIARIUS,G1119264,MM176-18,MM176-18,2,EXTERNO,TDM,5-mayo,NO,EJECUTADO,6. CERRADO,FÍSICO,TDM 18,26-05-2025,Equipo operativo,,,,,,,,
2025-1,EC,CDT - PEDIATRIA,MONITOR MULTIPARÁMETROS BAJA COMPLEJIDAD,NORTHER,AQUIARIUS,G1119271,MM177-18,MM177-18,2,EXTERNO,TDM,5-mayo,NO,EJECUTADO,6. CERRADO,FÍSICO,TDM 16,25-04-2025,Equipo operativo,,,,,,,,
