RESPONSABLE CATASTRO,FECHA,SERVICIO CLÍNICO,RECINTO (SECTOR),RECINTO,CLASE,SUBCLASE,NOMBRE EQUIPO,SUB EQUIPO,MARCA,MODELO,SERIE,N° INVENTARIO,NIC,AÑO DE ADQUISICIÓN,ORIGEN,COSTO,PROPIO / ARRIENDO / COMODATO,ESTADO (BUENO / REGULAR / MALO / BAJA),GESTIÓN AMBIENTAL,PMP,CRÍTICO/ RELEVANTE / IM≥12 / NO APLICA,APLICA LICITACIÓN,OBSERVACIÓN
HERMAN,07-02-2024,PEDIATRIA,PEDIATRÍA,TN3086,Apoyo Terapéutico,Alto Costo,Ventilador volumétrico invasivo,,HAMILTON,C3,2028,NO REGISTRADO,VM026-15,2015,,,PROPIO,BUENO,150 VA,,CRÍTICO,,
HERMAN,07-02-2024,PEDIATRIA,PEDIATRÍA,TN3086,Apoyo Terapéutico,Alto Costo,Ventilador volumétrico invasivo,,HAMILTON,C3,2029,NO REGISTRADO,VM027-16,2015,,,PROPIO,BUENO,150 VA,,CRÍTICO,,
HERMAN,07-02-2024,PEDIATRIA,PEDIATRÍA,TN3086,Apoyo Terapéutico,Alto Costo,Ventilador volumétrico invasivo,,HAMILTON,C3,2032,NO REGISTRADO,VM028-15,2015,,,PROPIO,BUENO,150 VA,,CRÍTICO,,
HERMAN,10-09-2024,URGENCIA ADULTO/PEDIÁTRICO,1ER PISO URGENCIAS,1ER PISO URGENCIAS,Apoyo Terapéutico,Mediano Costo,Ventilador de transporte,,HAMILTON,T1,7712,,VM029-18,2018,,,PROPIO,BUENO,150 VA,,CRÍTICO,,
HERMAN,10-09-2024,UNIDAD PACIENTE CRITICO (UPC),1ER PISO UCI,BODEGA,Apoyo Terapéutico,ALTO COSTO,Ventilador volumétrico invasivo,,HAMILTON,C6,6020,,VM030-21,2021,,,PROPIO,BUENO,510 VA,,CRÍTICO,,
HERMAN,14-02-2024,UNIDAD PACIENTE CRITICO (UPC),UCI,UCI 2,Apoyo Terapéutico,Alto Costo,Ventilador volumétrico invasivo,,HAMILTON,C6,6067,NO REGISTRADO,VM031-21,2021,,,PROPIO,BUENO,510 VA,,CRÍTICO,,
HERMAN,10-09-2024,UNIDAD PACIENTE CRITICO (UPC),1ER PISO UCI,BODEGA,Apoyo Terapéutico,ALTO COSTO,Ventilador volumétrico invasivo,,HAMILTON,C6,5537,,VM032-21,2021,,,PROPIO,BUENO,510 VA,,CRÍTICO,,
HERMAN,10-09-2024,UNIDAD PACIENTE CRITICO (UPC),1ER PISO UCI,BODEGA,Apoyo Terapéutico,ALTO COSTO,Ventilador volumétrico invasivo,,HAMILTON,C6,6011,,VM033-21,2021,,,PROPIO,BUENO,510 VA,,CRÍTICO,,
HERMAN,10-09-2024,UNIDAD PACIENTE CRITICO (UPC),1ER PISO UCI,BODEGA,Apoyo Terapéutico,ALTO COSTO,Ventilador volumétrico invasivo,,HAMILTON,C6,6032,,VM034-21,2021,,,PROPIO,BUENO,510 VA,,CRÍTICO,,
HERMAN,10-09-2024,UNIDAD PACIENTE CRITICO (UPC),1ER PISO UCI,BODEGA,Apoyo Terapéutico,ALTO COSTO,Ventilador volumétrico invasivo,,HAMILTON,C6,6010,,VM036-21,2021,,,PROPIO,BUENO,510 VA,,CRÍTICO,,
HERMAN,10-09-2024,UNIDAD PACIENTE CRITICO (UPC),1ER PISO UCI,BODEGA,Apoyo Terapéutico,ALTO COSTO,Ventilador volumétrico invasivo,,HAMILTON,C6,6047,,VM037-21,2021,,,PROPIO,BUENO,510 VA,,CRÍTICO,,
ALEXANDRA,15-02-2024,ANATOMIA PATOLOGICA,Recepción muestras,P022,Laboratorio/Farmac,Alto Costo,Armario de distribución,,MONMOUTH SCIENTIFIC,FSC600LSA,FSC600L-101,NO ENCONTRADO,,,,,PROPIO,BUENO,300 W,,NO APLICA,,
HERMAN,05-02-2024,ANATOMIA PATOLOGICA,,,Laboratorio/Farmac,Mediano Costo,Balanza de organos,,CARDINAL,HSDC,E27612-0058,306TN4P405802626,,2015,,,PROPIO,BUENO,NA,,NO APLICA,,
ALEXANDRA,15-02-2024,ANATOMIA PATOLOGICA,ANAT. PAT,P033,Laboratorio/Farmac,Mediano Costo,Baño histologico / flotación,,LEICA,HL1210,17109,306P1P03317099,,2022,,,PROPIO,BUENO,350 va,,IM>12,,
ALEXANDRA,15-02-2024,ANATOMIA PATOLOGICA,ANAT. PAT,ANAT. PAT,Laboratorio/Farmac,Mediano Costo,Baño histologico / flotación,,LEICA,HI1210,17067,306P1P03317098,,2022,,,PROPIO,BUENO,350 va,,IM>12,,
ALEXANDRA,15-02-2024,ANATOMIA PATOLOGICA,ANAT. PAT,P 022,Laboratorio/Farmac,Alto Costo,Camara de flujo,,ESCO,AHC-4A1,2006-18650,NO VISAULIZADO,,,,,PROPIO,BUENO,NA,,NO APLICA,,
ALEXANDRA,15-02-2024,ANATOMIA PATOLOGICA,ANAT. PAT,P033,Laboratorio/Farmac,Mediano Costo,Campana de extracción de gases,,MEMMERT,INSS,D2220054,306P1P03317105,,2022,,,PROPIO,BUENO,200W,,NO APLICA,,
ALEXANDRA,15-02-2024,ANATOMIA PATOLOGICA,ANAT. PAT,P033,Laboratorio/Farmac,Bajo Costo,Centro de inclusión,,LEICA,HISTOCORE ARCADIA H,7883,306P1P03317103,,2022,,,PROPIO,BUENO,1000VA,,IM>12,,Centro de Inclusión 1
ALEXANDRA,15-02-2024,ANATOMIA PATOLOGICA,ANAT. PAT,P033,Laboratorio/Farmac,Bajo Costo,Centro de inclusión,,LEICA,HISTOCORE ARCADIA H,7767,306P1P03317102,,2022,,,PROPIO,BUENO,1000VA,,IM>12,,Centro de Inclusión 2
ALEXANDRA,15-02-2024,ANATOMIA PATOLOGICA,ANAT. PAT,P025,Laboratorio/Farmac,Alto Costo,Criostato,,LEICA,CM1860UV,3587,NO ENCONTRADO,,2022,,,PROPIO,BUENO,1440 VA,,IM>12,,
ALEXANDRA,15-02-2024,ANATOMIA PATOLOGICA,ANAT. PAT,P025,Laboratorio/Farmac,Alto Costo,Gabinete de extracción de gases,,MOTECH,CK-50,304673,NO ENCONTRADO,,2017,,,PROPIO,BUENO,220V,,IM>12,,"catastrado como GL105, serie 5114"
ALEXANDRA,15-02-2024,QUIMIOTERAPIA AMBULATORIA ,2DO PISO CDT,U2044 - SALA DE PROCEDIMIENTOS,Apoyo Quirúrgico,Mediano Costo,Lámpara de examen,,KAWE,PLAXISLEUCHTE,1012000002,NO ENCONTRADO,,,,,PROPIO,BUENO,50W,,NO APLICA,Ampolletas,
HERMAN,12-02-2024,URGENCIA ADULTO/PEDIÁTRICO,box 1,u1014,Apoyo Diagnóstico,Bajo Costo,Lámpara de examen,,PROVITA,L121111A,1608014,NO REGISTRADO,,,,,PROPIO,BUENO,26 VA,,NO APLICA,Ampolletas,
ALEXANDRA,12-02-2024,URGENCIA OBSTÉTRICA,UR 1er piso,u1088,Apoyo Diagnóstico,Bajo Costo,Lámpara de examen,,PROVITA,L121111A,1609008,NO ENCONTRADO,,,,,PROPIO,BUENO,26 VA,,NO APLICA,Ampolletas,
ALEXANDRA,15-02-2024,ANATOMIA PATOLOGICA,ANAT. PAT,P027,Laboratorio/Farmac,Mediano Costo,Mesa autopsia,,THERMO FISHER SCIENTIFIC,LM-4,279018-1,   ,,2015,,,PROPIO,BUENO,15A,,NO APLICA,,
ALEXANDRA,12-02-2024,URGENCIA OBSTÉTRICA,UR 1er piso,U1089,Apoyo Diagnóstico,Bajo Costo,Lámpara de examen,,PROVITA,L121111A,1608016,NO ENCONTRADO,,,,,PROPIO,BUENO,26 VA,,NO APLICA,Ampolletas,
Iliam,18-06-2024,CDT - POLICLINICO DE OFTALMOLOGIA,1ER PISO CDT,SALA DE PROCEDIMIENTOS,Apoyo Diagnóstico,Alto Costo,Lensómetro automático,,TOPCOM,LM-8E,3475269,NO ENCONTRADO,,2023,DONACIÓN FEDES,0,PROPIO,BUENO,40VA,,NO APLICA,,DONACIÓN FEDES
Iliam,18-06-2024,CDT - POLICLINICO DE OFTALMOLOGIA,1ER PISO CDT,SALA DE PROCEDIMIENTOS,Apoyo Diagnóstico,Alto Costo,Lensómetro automático,,TOPCOM,LM-8E,3477535,306D1P1117270,,2023,DONACIÓN FEDES,0,PROPIO,BUENO,40VA,,NO APLICA,,DONACIÓN FEDES
Iliam,18-06-2024,CDT - POLICLINICO DE OFTALMOLOGIA,,,Apoyo Diagnóstico,Alto Costo,Lensómetro automático,,TAKAGI,LM-50,1001006,NO ENCONTRADO,,,,,PROPIO,BAJA SUGERIDA (YA REPUESTO),40VA,,NO APLICA,,
HERMAN,18-06-2024,CDT - POLICLINICO DE OFTALMOLOGIA,1ER PISO CDT,D3 SALA PROCEDIMIENTOS,Mobiliario,Alto Costo,Monitor pani con spo2,,NORTHERN,AQUIARIUS,G1119272,NO ENCONTRADO,MM175-18,2018,,,PROPIO,BUENO,70 VA,,CRÍTICO,"Accesorios, Baterias",
HERMAN,06-08-2025,CDT - POLICLINICO DE OFTALMOLOGIA,1ER PISO CDT,D3 SALA DE PROCEDIMIENTOS BOX 8,Apoyo Diagnóstico,Mediano Costo,Proyector Optotipos,,NIDEK,CP-690,S/S,,,,,,PROPIO,BUENO,,,,,
ISAIAS,19-02-2024,CDT - POLI DERMATOLOGÍA,BOX DERMATOLOGIA,U2027,Apoyo Diagnóstico,Mediano Costo,Lámpara de procedimientos,,PROVITA,L511120A,1608008,306U1P10195328,,,,,PROPIO,BUENO,26 VA,,IM>12,Ampolletas,
ALEXANDRA,15-02-2024,ANATOMIA PATOLOGICA,ANAT. PAT,ANAT. PAT,Laboratorio/Farmac,Alto Costo,Montador de láminas,,LEICA,CV5030,6014,NO ENCONTRADO,,,,,PROPIO,BUENO,1441 VA,,NO APLICA,,
ALEXANDRA,15-02-2024,ANATOMIA PATOLOGICA,ANAT. PAT,P033,Laboratorio/Farmac,Bajo Costo,Pinza,Pinza 1,LEICA,EGF,2331,NO ENCONTRADO,,2022,,,PROPIO,BUENO,10.5 VA,,NO APLICA,,
ALEXANDRA,15-02-2024,ANATOMIA PATOLOGICA,ANAT. PAT,P033,Laboratorio/Farmac,Bajo Costo,Pinza,Pinza 2,LEICA,EGF,2333,NO ENCONTRADO,,2022,,,PROPIO,BUENO,10.5 VA,,NO APLICA,,
ALEXANDRA,15-02-2024,ANATOMIA PATOLOGICA,ANAT. PAT,P033,Laboratorio/Farmac,Mediano Costo,Placa Fría,,LEICA,HISTOCORE ARCADIA C,8618,306P1P03317102,,2022,,,PROPIO,BUENO,10VA,,IM>12,,placa fria 1
ALEXANDRA,15-02-2024,ANATOMIA PATOLOGICA,ANAT. PAT,P033,Laboratorio/Farmac,Mediano Costo,Placa Fría,,LEICA,HISTOCORE ARCADIA C,8631,306P1P03317103,,2022,,,PROPIO,BUENO,10VA,,IM>12,,placa fria 2
ALEXANDRA,15-02-2024,ANATOMIA PATOLOGICA,ANAT. PAT,P033,Laboratorio/Farmac,Mediano Costo,Placa fria pequeña,,LEICA,EG1150C-1,38838037,NO ENCONTRADO,,,,,PROPIO,BUENO,350 VA,,NO APLICA,,
ALEXANDRA,15-02-2024,ANATOMIA PATOLOGICA,ANAT. PAT,ANAT. PAT,Laboratorio/Farmac,Alto Costo,Procesador tejidos,,BENCHMARK,GX,815926,NO ENCONTRADO,,,,,PROPIO,BUENO,500W,,IM>12,,
ALEXANDRA,15-02-2024,ANATOMIA PATOLOGICA,ANAT. PAT,ANAT. PAT,Laboratorio/Farmac,Alto Costo,Procesador tejidos,,BENCHMARK,GX,816893,NO ENCONTRADO,,,,,PROPIO,BUENO,500w,,IM>12,,
ALEXANDRA,15-02-2024,ANATOMIA PATOLOGICA,ANAT. PAT,P033,Laboratorio/Farmac,Mediano Costo,Refrigerador clínico,,HAIER,HYC-390,BE06M 8EAQ0 0QEM7 G0005,NO ENCONTRADO,,2022,1552-36-LQ21,"$2,139,620",PROPIO,BUENO,2500W,,NO APLICA,,
ALEXANDRA,15-02-2024,ANATOMIA PATOLOGICA,ANAT. PAT,ANAT. PAT,Laboratorio/Farmac,Alto Costo,Refrigerador clínico,,,,BE06M8EAQ00QEM7G0005,NO ENCONTRADO,,2021,,,PROPIO,BUENO,500W,,NO APLICA,,
HERMAN,18-03-2024,BODEGA FARMACIA,1ER PISO - BODEGA FARMACIA,1ER PISO - BODEGA FARMACIA,Laboratorio/Farmac,Alto Costo,Dispensador de medicamentos de farmacia,,KARDEX,XP500-2850X813,15005324/001,NO ENCONTRADO,,2016,,,PROPIO,BUENO,1500W,,NO APLICA,,
HERMAN,18-03-2024,BODEGA FARMACIA,1ER PISO - BODEGA FARMACIA,1ER PISO - BODEGA FARMACIA,Laboratorio/Farmac,Alto Costo,Dispensador de medicamentos de farmacia,,KARDEX,XP500-2850X813,15005324/002,NO ENCONTRADO,,2016,,,PROPIO,BUENO,1500W,,NO APLICA,,
HERMAN,18-03-2024,BODEGA FARMACIA,1ER PISO BODEGA FARMACIA,2do PISO BODEGA FARMACIA,Laboratorio/Farmac,Mediano Costo,Refrigerador clínico,,PITEC,REF-38,6030,NO ENCONTRADO,,,,,PROPIO,BUENO,200W,,NO APLICA,,
HERMAN,05-02-2024,CARDIOLOGÍA,Cardiología 4to,Pasillo 4023,Apoyo Quirúrgico,Bajo Costo,Bomba aspiración universal,,MEDIAIR,KTR066,SU11L00180,NO ASIGNADO,,,,,PROPIO,BUENO,48W,,NO APLICA,,
HERMAN,05-02-2024,CARDIOLOGÍA,Cardiología 4to,TN4039,Apoyo Terapéutico,Mediano Costo,Bomba de infusión volumétrica,,ICU MEDICAL,PLUM 360,42432133,NO APLICA,,2022,,,COMODATO,BUENO,50 VA,,IM>12,,
HERMAN,05-02-2024,CARDIOLOGÍA,Cardiología 4to,TN4039,Apoyo Terapéutico,Mediano Costo,Bomba de infusión volumétrica,,ICU MEDICAL,PLUM 360,42432138,NO APLICA,,2022,,,COMODATO,BUENO,50 VA,,IM>12,,
HERMAN,05-02-2024,CARDIOLOGÍA,Cardiología 4to,TN4007,Apoyo Terapéutico,Mediano Costo,Bomba de infusión volumétrica,,ICU MEDICAL,PLUM 360,42432169,NO APLICA,,2022,,,COMODATO,BUENO,50 VA,,IM>12,,
HERMAN,05-02-2024,CARDIOLOGÍA,Cardiología 4to,TN4039,Apoyo Terapéutico,Mediano Costo,Bomba de infusión volumétrica,,ICU MEDICAL,PLUM 360,42432190,NO APLICA,,2022,,,COMODATO,BUENO,50 VA,,IM>12,,
HERMAN,05-02-2024,CARDIOLOGÍA,Cardiología 4to,TN4039,Apoyo Terapéutico,Mediano Costo,Bomba de infusión volumétrica,,ICU MEDICAL,PLUM 360,42432193,NO APLICA,,2022,,,COMODATO,BUENO,50 VA,,IM>12,,
HERMAN,05-02-2024,CARDIOLOGÍA,UCI,BODEGA,Apoyo Terapéutico,Mediano Costo,Bomba de infusión volumétrica,,ICU MEDICAL,PLUM 360,42432195,NO APLICA,,2022,,,COMODATO,BUENO,50 VA,,IM>12,,
HERMAN,05-02-2024,CARDIOLOGÍA,Cardiología 4to,TN4008,Apoyo Terapéutico,Mediano Costo,Bomba de infusión volumétrica,,ICU MEDICAL,PLUM 360,42432201,NO APLICA,,2022,,,COMODATO,BUENO,50 VA,,IM>12,,
HERMAN,05-02-2024,CARDIOLOGÍA,Cardiología 4to,TN4012,Apoyo Terapéutico,Mediano Costo,Bomba de infusión volumétrica,,ICU MEDICAL,PLUM 360,42432204,NO APLICA,,2022,,,COMODATO,BUENO,50 VA,,IM>12,,
HERMAN,05-02-2024,CARDIOLOGÍA,Cardiología 4to,TN4039,Apoyo Terapéutico,Mediano Costo,Bomba de infusión volumétrica,,ICU MEDICAL,PLUM 360,42432209,NO APLICA,,2022,,,COMODATO,BUENO,50 VA,,IM>12,,
HERMAN,05-02-2024,CARDIOLOGÍA,Cardiología 4to,TN4039,Apoyo Terapéutico,Mediano Costo,Bomba de infusión volumétrica,,ICU MEDICAL,PLUM 360,42432214,NO APLICA,,2022,,,COMODATO,BUENO,50 VA,,IM>12,,
HERMAN,05-02-2024,CARDIOLOGÍA,Cardiología 4to,TN4039,Apoyo Terapéutico,Mediano Costo,Bomba de infusión volumétrica,,ICU MEDICAL,PLUM 360,42432253,NO APLICA,,2022,,,COMODATO,BUENO,50 VA,,IM>12,,
HERMAN,05-02-2024,CARDIOLOGÍA,Cardiología 4to,TN4039,Apoyo Terapéutico,Mediano Costo,Bomba de infusión volumétrica,,ICU MEDICAL,PLUM 360,42432264,NO APLICA,,2022,,,COMODATO,BUENO,50 VA,,IM>12,,
HERMAN,05-02-2024,CARDIOLOGÍA,Cardiología 4to,TN4039,Apoyo Terapéutico,Mediano Costo,Bomba de infusión volumétrica,,ICU MEDICAL,PLUM 360,42432272,NO APLICA,,2022,,,COMODATO,BUENO,50 VA,,IM>12,,
HERMAN,05-02-2024,CARDIOLOGÍA,Cardiología 4to,TN4039,Apoyo Terapéutico,Mediano Costo,Bomba de infusión volumétrica,,ICU MEDICAL,PLUM 360,42432277,NO APLICA,,2022,,,COMODATO,BUENO,50 VA,,IM>12,,
HERMAN,05-02-2024,CARDIOLOGÍA,Cardiología 4to,TN4039,Apoyo Terapéutico,Mediano Costo,Bomba de infusión volumétrica,,ICU MEDICAL,PLUM 360,42432281,NO APLICA,,2022,,,COMODATO,BUENO,50 VA,,IM>12,,
HERMAN,05-02-2024,CARDIOLOGÍA,Cardiología 4to,TN4039,Apoyo Terapéutico,Mediano Costo,Bomba de infusión volumétrica,,ICU MEDICAL,PLUM 360,42432282,NO APLICA,,2022,,,COMODATO,BUENO,50 VA,,IM>12,,
HERMAN,05-02-2024,CARDIOLOGÍA,Cardiología 4to,TN4039,Apoyo Terapéutico,Mediano Costo,Bomba de infusión volumétrica,,ICU MEDICAL,PLUM 360,42432291,NO APLICA,,2022,,,COMODATO,BUENO,50 VA,,IM>12,,
HERMAN,05-02-2024,CARDIOLOGÍA,Cardiología 4to,TN4039,Apoyo Terapéutico,Mediano Costo,Bomba de infusión volumétrica,,ICU MEDICAL,PLUM 360,42432292,NO APLICA,,2022,,,COMODATO,BUENO,50 VA,,IM>12,,
HERMAN,05-02-2024,CARDIOLOGÍA,Cardiología 4to,TN4039,Apoyo Terapéutico,Mediano Costo,Bomba de infusión volumétrica,,ICU MEDICAL,PLUM 360,42432307,NO APLICA,,2022,,,COMODATO,BUENO,50 VA,,IM>12,,
HERMAN,05-02-2024,CARDIOLOGÍA,Cardiología 4to,SIN REGISTRO,Apoyo Terapéutico,Mediano Costo,Bomba enteral,,FRESENIUS KABI,SMART HOLDER,25328748,NO APLICA,,,,,COMODATO,BUENO,10W,,NO APLICA,,
HERMAN,05-02-2024,CARDIOLOGÍA,Cardiología 4to,TN4002,Mobiliario,Clínico,Cama electromecánica,,LINET,ELEGANZA 2,20200290213,NO VISAULIZADO,,2020,,,PROPIO,BUENO,370 VA,,IM>12,,
HERMAN,05-02-2024,CARDIOLOGÍA,Cardiología 4to,TN4047,Mobiliario,Clínico,Cama electromecánica,,SIGMA CARE,B88AU,1201090007,NO VISAULIZADO,,,,,PROPIO,BUENO,1000W,,IM>12,,
HERMAN,05-02-2024,CARDIOLOGÍA,4TO PISO - ALA SUR,TN4013,Mobiliario,Clínico,Cama electromecánica,,STRYKER,SV2 7500,3605100013870117,NO VISAULIZADO,,,,,PROPIO,BUENO,1100w,,IM>12,,
HERMAN,05-02-2024,CARDIOLOGÍA,4TO PISO - ALA SUR,TN4012,Mobiliario,Clínico,Cama electromecánica,,STRYKER,SV2 7500,3605100013870182,NO VISAULIZADO,,,,,PROPIO,OPERATIVO CON PROBLEMAS,1100w,,IM>12,,
HERMAN,05-02-2024,CARDIOLOGÍA,Cardiología 4to,TN4042,Mobiliario,Clínico,Cama electromecánica,,VOLKER,S962-2,962-2-2012-12-119,NO VISAULIZADO,,2012,,,PROPIO,OPERATIVO CON PROBLEMAS,300 VA,,IM>12,,
HERMAN,05-02-2024,CARDIOLOGÍA,Cardiología 4to,SIN REGISTRO,Mobiliario,Clínico,Cama electromecánica,,VOLKER,S962-2,962-2-2012-12-49,NO VISAULIZADO,,2012,,,PROPIO,OPERATIVO CON PROBLEMAS,300VA,,IM>12,,
HERMAN,05-02-2024,CARDIOLOGÍA,Cardiología 4to,TN4041,Mobiliario,Clínico,Cama electromecánica,,VOLKER,S962-2,962-2-2012-12-90,306TN4P411402579,,2012,,,PROPIO,OPERATIVO CON PROBLEMAS,300 VA,,IM>12,,
HERMAN,05-02-2024,CARDIOLOGÍA,Cardiología 4to,TN4046,Mobiliario,Clínico,Cama electromecánica,,VOLKER,S962-2,962-2-2012-12-97,NO VISAULIZADO,,2012,,,PROPIO,OPERATIVO CON PROBLEMAS,300 VA,,IM>12,,
HERMAN,05-02-2024,CARDIOLOGÍA,Cardiología 4to,TN4036,Mobiliario,Clínico,Cama electromecánica,,VOLKER,S962-2,962-2-2012-12-99,NO VISAULIZADO,,2012,,,PROPIO,OPERATIVO CON PROBLEMAS,300 VA,,IM>12,,
HERMAN,05-02-2024,CARDIOLOGÍA,Cardiología 4to,TN4003,Mobiliario,Clínico,Cama electromecánica,,VOLKER,S962-2,962-2-2012-6-241,NO VISAULIZADO,,2012,,,PROPIO,OPERATIVO CON PROBLEMAS,300 VA,,IM>12,,
HERMAN,05-02-2024,CARDIOLOGÍA,Cardiología 4to,SIN REGISTRO,Mobiliario,Clínico,Carro de paros,,BAILIDA,BM16,275,NO REGISTRADO,,,,,PROPIO,OPERATIVO CON PROBLEMAS,NA,,NO APLICA,,
HERMAN,05-02-2024,CARDIOLOGÍA,Cardiología 4to,TN4039,Apoyo Terapéutico,Mediano Costo,Compresor neumático,,COVIDIEN,KENDALL SCD 700 SERIES,V1641554SX,NO APLICA,,2016,,,PROPIO,BUENO,50 VA,,NO APLICA,,
HERMAN,05-02-2024,CARDIOLOGÍA,Cardiología 4to,TN4026,Imagenología,Alto Costo,Ecocardiógrafo,,GENERAL ELECTRIC,VIVID 7,FD000010,NO REGISTRADO,,2007,,,PROPIO,BUENO,150 VA,,RELEVANTE,,
HERMAN,10-09-2024,CARDIOLOGÍA,4to piso,SALA EQUIPOS,Imagenología,ALTO COSTO,Ecógrafo portátil,,SONOSITE,M-TURBO,WK0T5D,,,2013,,,PROPIO,BUENO,200W,,RELEVANTE,,
HERMAN,05-02-2024,CARDIOLOGÍA,4TO PISO - ALA SUR,ROTATIVO,Apoyo Terapéutico,Mediano Costo,Equipo de oxigenoteraia de alto flujo (cnaf - canula nasal de alto flujo),,FISHER & PAYKEL,AIRVO 2,200611138722,NO REGISTRADO,,2020,,,PROPIO,BUENO,400W,,IM>12,,"ETIQUETA 03, IM SEGÚN OMS"
HERMAN,05-02-2024,CARDIOLOGÍA,4TO PISO - ALA SUR,ROTATIVO,Apoyo Terapéutico,Mediano Costo,Equipo de oxigenoteraia de alto flujo (cnaf - canula nasal de alto flujo),,FISHER & PAYKEL,AIRVO 2,200611138833,NO REGISTRADO,,2020,,,PROPIO,BUENO,400W,,IM>12,,"ETIQUETA 22, IM SEGÚN OMS"
HERMAN,05-02-2024,CARDIOLOGÍA,4TO PISO - ALA SUR,ROTATIVO,Apoyo Terapéutico,Mediano Costo,Equipo de oxigenoteraia de alto flujo (cnaf - canula nasal de alto flujo),,FISHER & PAYKEL,AIRVO 2,200611138712,NO REGISTRADO,,2020,,,PROPIO,BUENO,400W,,IM>12,,"ETIQUETA 23, IM SEGÚN OMS"
HERMAN,05-02-2024,CARDIOLOGÍA,Cardiología 4to,SIN REGISTRO,Laboratorio/Farmac,Mediano Costo,Refrigerador clínico,,MELNG,YC-75L,200630620,NO REGISTRADO,,,,,PROPIO,BUENO,2500W,,NO APLICA,,
HERMAN,05-02-2024,CARDIOLOGÍA,Cardiología 4to,TN4042,Mobiliario,Alto Costo,Monitor multiparámetros,,MINDRAY,UMEC12,KQ-04038639,306TN4P40806904,,2020,,,PROPIO,BUENO,100 VA,,CRÍTICO,"Accesorios, Baterias",
ALEXANDRA,19-02-2024,CDT - POLI TRAUMATOLOGIA,SALA DE PROCEDIMIENTOAMBULATORIO ESTÉRIL,U2047,Apoyo Diagnóstico,Mediano Costo,Lámpara de procedimientos,,PROVITA,L511120A,1608001,306U2P20476904,,,,,PROPIO,BUENO,26 VA,,IM>12,Ampolletas,
Iliam,18-06-2024,CDT - CURACIONES SIMPLES,1ER PISO CDT,CURACIONES AVANZADAS,Mobiliario,Alto Costo,Monitor pani con spo2,,NORTHERN,AQUIARIUS,G1119260,306D1P956330,,2018,,,PROPIO,BUENO,70 VA,,CRÍTICO,"Accesorios, Baterias",
HERMAN,17-06-2024,CDT - ENDOSCOPIA,1ER PISO ENDOSCOPIA,C033,Apoyo Quirúrgico,Bajo Costo,Bomba aspiración universal,,MEDIAIR,KTR066,174036988,NO ENCONTRADO,,,,,PROPIO,BUENO,48W,,NO APLICA,,
HERMAN,17-06-2024,CDT - ENDOSCOPIA,1ER PISO ENDOSCOPIA,C033,Apoyo Quirúrgico,Alto Costo,Electrobisturí - modulo argon,,ZERONE,ARGON,A00BUBL0016,NO ENCONTRADO,,2019,,,PROPIO,BUENO,50VA,,IM>12,,IM SEGÚN OMS
ALEXANDRA,27-02-2024,PABELLÓN CENTRAL,1ER PISO PABELLÓN CENTRAL,Pasillo,Apoyo Quirúrgico,Alto Costo,Torre 1 videolaparoscopía,Fuente de luz,STORZ,,US12535,306CC1P006190,,,,,PROPIO,BUENO,100w,,IM>12,,
ALEXANDRA,27-02-2024,PABELLÓN CENTRAL,1ER PISO PABELLÓN CENTRAL,Pasillo,Apoyo Quirúrgico,Alto Costo,Torre 1 videolaparoscopía,Fuente de Poder Motor Artroscopia,STORZ,S III ARTHRO 28723020,NU2989,NO ENCONTRADO,,,,,PROPIO,BUENO,150 - 240 W,,IM>12,,
ALEXANDRA,27-02-2024,PABELLÓN CENTRAL,1ER PISO PABELLÓN CENTRAL,Pasillo,Apoyo Quirúrgico,Alto Costo,Torre 1 videolaparoscopía,Insuflador,STORZ,THERMOFLATO,WR24808,306CC1P006195,,,,,PROPIO,BUENO,20W,,IM>12,,
ALEXANDRA,27-02-2024,PABELLÓN CENTRAL,1ER PISO PABELLÓN CENTRAL,Pasillo,Apoyo Quirúrgico,Alto Costo,Torre 1 videolaparoscopía,Monitor led full hd,FSN,FS-P2604D,D26917500003,306MM1P006171,,2017,,,PROPIO,BUENO,50w,,IM>12,,
ALEXANDRA,27-02-2024,PABELLÓN CENTRAL,1ER PISO PABELLÓN CENTRAL,Pasillo,Apoyo Quirúrgico,Alto Costo,Torre 1 videolaparoscopía,Procesador camara conect,STORZ,TC200,XS775014-P,306MM1P006172,,,,,PROPIO,BUENO,150W,,IM>12,,
ALEXANDRA,27-02-2024,PABELLÓN CENTRAL,1ER PISO PABELLÓN CENTRAL,Pasillo,Apoyo Quirúrgico,Alto Costo,Torre 1 videolaparoscopía,Procesador camara H3-link,STORZ,TC300,PR782437-P,NO ENCONTRADO,,,,,PROPIO,BUENO,150W,,IM>12,,
ALEXANDRA,27-02-2024,PABELLÓN CENTRAL,1ER PISO PABELLÓN CENTRAL,Pasillo,Apoyo Quirúrgico,Mediano Costo,Torre 1 videolaparoscopía,Unidad electroquirurgica,ARTHREX,C16664-01,EAC230133,NO ENCONTRADO,,,,,PROPIO,BUENO,50w,,IM>12,,
ALEXANDRA,27-02-2024,PABELLÓN CENTRAL,1ER PISO PABELLÓN CENTRAL,pasillo,Apoyo Quirúrgico,Alto Costo,Torre 1 videolaparoscopía,Unidad electroquirurgica,STORZ,AUTOCON III 400,40101936,306MM1P006175,,,,,PROPIO,BUENO,400 W,,IM>12,,
