N°,AÑO,FECHA,TIPO,UNIDAD,CANTIDAD,EQUIPO,MARCA,SERIE,OBSERVACIÓN
AE-087-18,2018,29/06/2018,ACCESORIO,ANATOMÍA PATOLÓGICA,,01 BOTTLE OF CRYOSTAT OIL 50 ML,LEICA,ARQUIMED,
AE-087-18,2018,29/06/2018,ACCESORIO,ANATOMÍA PATOLÓGICA,,01 TISSUE FREEZING MEDIUM FOR CRYOSECTIONING 125 ML,LEICA,ARQUIMED,
AE-087-18,2018,29/06/2018,ACCESORIO,ANATOMÍA PATOLÓGICA,,01 PAIR OF CUT RESISTANT SAFETY GLOVES SIZE M,LEICA,ARQUIMED,
AE-087-18,2018,29/06/2018,ACCESORIO,ANATOMÍA PATOLÓGICA,,01 KNIFE HOLDER BASE UNIVERSAL,LEICA,ARQUIMED,
AE-087-18,2018,29/06/2018,ACCESORIO,ANATOMÍA PATOLÓGICA,,01 PREMIUM BLADE HOLDER FOR DISPOSABLE BLADES,LEICA,ARQUIMED,
AE-087-18,2018,29/06/2018,ACCESORIO,ANATOMÍA PATOLÓGICA,,MANUAL DE INSTRUCCIONES IMPRESO Y EN CD,LEICA,ARQUIMED,
AE-088-18,2018,06-07-2018,EQUIPO,PABELLÓN,,01 ELECTROBISTURÍ,ERBE,,
AE-088-18,2018,06/07/2018,EQUIPO,PABELLÓN,,ELECTROBISTURÍ,ERBE,,
AE-089-18,2018,06-07-2018,ACCESORIO,BLOQUE MÉDICO,,06 UNIDADES DE SUCCIÓN (NUEVOS),C&U,,
AE-089-18,2018,06-07-2018,ACCESORIO,BLOQUE MÉDICO,,05 REGULADORES DE OXÍGENO CON FRASCO HUMIDIFICADOR,C&U,,
AE-089-18,2018,06-07-2018,ACCESORIO,BLOQUE MÉDICO,,03 REGULADORES DE AIRE SIN FRASCO HUMIDIFICADOR,C&U,,
AE-089-18,2018,06/07/2018,ACCESORIO,BLOQUE MÉDICO,,06 UNIDADES DE SUCCIÓN (NUEVOS),C&U,,
AE-089-18,2018,06/07/2018,ACCESORIO,BLOQUE MÉDICO,,05 REGULADORES DE OXÍGENO CON FRASCO HUMIDIFICADOR ,C&U,,
AE-089-18,2018,06/07/2018,ACCESORIO,BLOQUE MÉDICO,,03 REGULADORES DE AIRE SIN FRASCO HUMIDIFICADOR,C&U,,
AE-090-18,2018,09-07-2018,ACCESORIO,UPC,,18 BOMBA INFUSIÓN,HOSPIRA,,
AE-090-18,2018,09/07/2018,ACCESORIO,UPC,,18 BOMBAS DE INFUSIÓN,HOSPIRA,,
AE-091-18,2018,10/07/2018,EQUIPO,MEDICINA NUCLEAR,,01 ELECTROCARDIOGRAFO,CARDIO SCIENCE,,
AE-092-18,2018,11/07/2018,EQUIPO,UCPP,,MÓDULO MP20,PHILIPS,,
AE-093-18,2018,12/07/2018,ACCESORIO,UCPP,,01 CABLE ELECTRODOS DEA Y MARCAPASO,NIHON KHODEN,,
AE-094-18,2018,12/07/2018,ACCESORIOS,URG,,02 CABLE ELECTRODOS DEA MARCAPASO,NIHON KHODEN,,
AE-095-18,2018,12/07/2018,ACCESORIO,POLI CLÍNICO INMUNOLOGÍA,,01 CABLE ELECTRODOS DEA MARCAPASO,NIHON KHODEN,,
AE-096-18,2018,19/07/2018,ACCESORIO,NEUROCIRUGÍA,,01 CABLE ECG,UNIMED,,
AE-097-18,2018,20/07/2018,ACCESORIO,URGENCIA,,01 CABLE ECG,UNIMED,,
AE-098-18,2018,26/07/2018,ACCESORIO,UPC,,01 UPS,EAST,,
AE-099-18,2018,26/07/2018,ACCESORIO,IMAGENOLOGÍA,,01 UPS,EAST,,
AE-100-18,2018,31/07/2018,ACCESORIOS,PABELLÓN,,15 CABLES DE PODER,,,
AE-101-18,2018,06/08/2018,ACCESORIO,PABELLÓN,,01 ADAPTADOR DE SIERRA,SYNTHES,,
AE-102-18,2018,08/08/2018,EQUIPO,PABELLÓN,,01 EQUIPO LASER,QUANTA SYSTEM ,LHT0549-0318,
AE-103-18,2018,10/08/2018,EQUIPO,PARTO,,01 BOMBA DE INFUSIÓN,HOSPIRA,HOSPIRA,
AE-104-18,2018,14-08-2018,EQUIPO,PARTO,,01 BOMBA DE INFUSIÓN,HOSPIRA,HOSPIRA,
AE-105-18,2018,17/08/2018,ACCESORIOS,PABELLÓN,,"03 FIBRA ÓPTICA EQUIPO LASER DE 1000,272 Y 550 MICRONES",QUANTA SYSTEM ,,
AE-106-18,2018,20/08/2018,ACCESORIOS,PABELLÓN,,02 SENSORES SP02 PEDIÁTRICOS Y 03 SENSORES SP02 ADULTO,DRAGER,,
AE-107-18,2018,22/08/2018,ACCESORIO,BLOQUE QUIRÚRGICO,,01 BOMBA DE INFUASIÓN,HOSPIRA,HOSPIRA,
AE-111-18,2018,23/08/2018,DOCUMENTO,PABELLÓN,,LIBRO DE VIDA DEL ARCO C,PHILIPS,PHILIPS,
AE-112-18,2018,30/08/2018,ACCESORIOS,PABELLÓN,,BATERÍA DE DERMATOMO,AESCULAP,BBRAUN,
AE-112-18,2018,30/08/2018,ACCESORIOS,PABELLÓN,,BATERÍA DE DERMATOMO,AESCULAP,BBRAUN,
AE-113-18,2018,30/08/2018,EQUIPO,UPC,,CAMA ELECTROMECÁNICA,BERTEC,,
AE-108-18,2018,04/09/2018,EQUIPO,UPC,,02 EQUIPOS DE ASPIRACIÓN DE PARED,CCU,,
AE-109-18,2018,04/09/2018,EQUIPO,BLOQUE MÉDICO,,01 SET DE PINZAS,,,
AE-110-18,2018,05/09/2018,EQUIPO,ENDOSCOPIA,,01 VIDEOCOLONOSCOPIO,FUJIFILM,,
AE-114-18,2018,10/09/2018,EQUIPO,PABELLÓN AMBULATORIO,,01 FLUJOMETRO DE OXÍGENO PARA PARED,C&U,,
AE-114-18,2018,10/09/2018,EQUIPO,PABELLÓN AMBULATORIO,,01 TRAMPA DE VACÍO MURAL,C&U,,
AE-115-18,2018,11/09/2018,ACCESORIOS,URGENCIA,,02 CABLES ECG,CORE-RAY,,
AE-116-18,2018,25/09/2018,EQUIPO,NEUROCIRUGÍA,,07 BOMBAS DE INFUSIÓN,HOSPIRA,,
AE-117-18,2018,01/10/2018,EQUIPO,UPC,,02 REGULADORES DE OXÍGENO DE PARED,C&U,,
AE-118-18,2018,04/10/2018,ACCESORIO,ENDOSCOPIA,,01 CABLE ACTIVO,EMED,,
AE-119-18,2018,09/10/2018,EQUIPO,PABELLÓN,,01 MOTOR SYNTHES,SYNTHES,,
AE-120-18,2018,11/10/2018,EQUIPO,PARTO,,ELECTROBISTURÍ,HOSPIRA,,
AE-121-18,2018,11/10/2018,EQUIPO,POLICLÍNICO GINECOLOGÍA,,01 TOCODINAMOMÉTRO,COROMETRIS,,
AE-122-18,2018,16/10/2018,ACCESORIO,PABELLÓN,,01 CONTENEDOR DE INSTRUMENTAL QUIRÚRGICO,DEPUY SYNTHES,JOHNSON&JOHNSON,
AE-122-18,2018,16/10/2018,ACCESORIO,PABELLÓN,,01 TAPA DE CONTENEDOR,DEPUY SYNTHES,JOHNSON&JOHNSON,
AE-122-18,2018,16/10/2018,ACCESORIO,PABELLÓN,,01 CESTA DE LAVADO,DEPUY SYNTHES,JOHNSON&JOHNSON,
AE-124-18,2018,18/10/2018,EQUIPO,UCE,,RX PORTÁTIL,SHIMADZU,,
AE-123-18,2018,19/10/2018,ACCESORIO,PABELLÓN,,01 EQUIPO ASPIRADOR ULTRASONICO,SORING,S. E. M. RANCAGUA L.,
AE-123-18,2018,19/10/2018,ACCESORIO,PABELLÓN,,01 EQUIPO PEDAL CANISTER,SORING,S. E. M. RANCAGUA L.,
AE-123-18,2018,19/10/2018,ACCESORIO,PABELLÓN,,03 MANGUERAS,SORING,S. E. M. RANCAGUA L.,
AE-123-18,2018,19/10/2018,ACCESORIO,PABELLÓN,,01 MALETA DE TRANSPORTE,SORING,S. E. M. RANCAGUA L.,
AE-123-18,2018,19/10/2018,ACCESORIO,PABELLÓN,,CABLES PORTA SUERO,SORING,S. E. M. RANCAGUA L.,
AE-125-18,2018,22/10/2018,ACCESORIO,PABELLÓN,,01 AMPOLLETA HALÓGENA,PHILIPS,,
AE-126-18,2018,22/10/2018,EQUIPO,PABELLÓN,,01 FUENTE DE LUZ FRÍA,STORZ,,
AE-127-18,2018,24/10/2018,EQUIPO,PABELLÓN,,01 CAJA MOTOR SYNTHES 1,TRS,JOHNSON & JOHNSON,
AE-127-18,2018,24/10/2018,EQUIPO,PABELLÓN,,01 ADAPTADOR DE SIERRA,05.001.225,JOHNSON & JOHNSON,
AE-128-18,2018,31/10/2018,EQUIPO,PABELLÓN,,01 BOMBA DE INFUSIÓN,HOSPIRA,HOSPIRA,
AE-130-18,2018,7/11/2018,EQUIPO,URGENCIA,,01 BOMBA DE INFUSIÓN,HOSPIRA,PLUM A+,
AE-129-18,2018,08/11/2018,EQUIPO,UCE,,03 BOMBAS DE INFUSIÓN,HOSPIRA,HOSPIRA,
AE-131-18,2018,08-11-2018,EQUIPO,ENDOSCOPIA,,03 TOMAS DE VACÍO,C&U,,
AE-132-18,2018,09-11-2018,ACCESORIOS,POLICLÍNICO GINECOLOGÍA,,02 PAPEL DE MONITOR CARDIOFETAL,LESSA,INTERNATIONAL CLINICS,
AE-133-18,2018,09/11/2018,ACCESORIO,PABELLÓN,,01 CABLE PANI,DRAGER,,
AE-134-18,2018,13/11/2018,EQUIPO,ENDOSCOPIA, ,01 VIDEOPANENDOSCOPIO,ZEPEDA,FUJINON,
AE-135-18,2018,14/11/2018,ACCESORIOS,POLICLÍNICO GINECOLOGÍA,,10 PAPEL DE MONITOR CARDIOFETAL ,LESSA,,
AE-136-18,2018,14/11/2018,ACCESORIOS,MEDICINA,,03 REGULADORES DE OXÍGENO,,NEGAMET,
AE-137-18,2018,16/11/2018,ACCESORIOS,POLICLÍNICO GINECOLOGÍA,,10 PAPEL DE MONITOR CARDIOFETAL,LESSA,INTERNATIONAL CLINICS,
AE-138-18,2018,16/11/2018,EQUIPO,UPC,,01 VENTILADOR MECANICO C1,HAMILTON,IMEDICAL (REPETUR),
AE-139-18,2018,16/11/2018,EQUIPO,UPC,,01 VENTILADOR MECANICO G5,HAMILTON,IMEDICAL (REPETUR),
AE-140-18,2018,20/11/2018,EQUIPO,URGENCIA,,01 BOMBA DE INFUSIÓN,HOSPIRA,HOSPIRA,
AE-141-18,2018,21/11/2018,ACCESORIO,PABELLÓN,,01 MANDRIL VELOCIDAD-FRESADO C/LLAVE P/TRS,SYNTHES,JOHNSON&JOHNSON,
AE-142-18,2018,22/11/2018,EQUIPO,URGENCIA MATERNIDAD,,01 UPS,VERTIV,,
AE-143-18,2018,26-11-2018,EQUIPO,ENDOSCOPIA,,01 VIDEOCOLONOSCOPIO,FUJINON,EC-590ZW3/L,
AE-144-18,2018,27-11-2018,EQUIPO,ENDOSCOPIA,,01 VIDEOCOLONOSCOPIO,FUJINON,EC-590ZW/L,
AE-145-18,2018,28-11-2018,ACCESORIO,ESTERILIZACION,,01 LLAVE MOTOR SYNTHES,JOHNSON & JOHNSON,,
AE-146-18,2018,29-11-2018,EQUIPO,PABELLÓN,,01 PROCESADOR DE IMAGEN,OLYMPUS,,
AE-147-18,2018,29-11-2018,EQUIPO,POLI OTORRINO,,01 FUENTE DE LUZ,STORZ ,,
AE-148-18,2018,30-11-2018,EQUIPO,POLI OTORRINO,,01 FUENTE DE LUZ,STORZ ,,
AE-149-18,2018,30-11-2018,ACCESORIOS,POLI CLÍNICO CARDIOVASCULAR,,04 MANGOS DE PRESIÓN TALLA S (ADULTO PEQUEÑO),SCHILLER,,
AE-149-18,2018,30-11-2018,ACCESORIOS,POLI CLÍNICO CARDIOVASCULAR,,04 MANGOS DE PRESIÓN PEDIÁTRICOS,UNIMED,,
AE-150-18,2018,03-12-2018,EQUIPO,PABELLÓN,,01 FACOEMULSIFICADOR,ABBOTT,OFTOMED,
AE-150-18,2018,03-12-2018,EQUIPO,PABELLÓN,,01 CONTROL REMOTO,NA,OFTOMED,
AE-150-18,2018,03-12-2018,EQUIPO,PABELLÓN,,01 PEDAL,NA,OFTOMED,
AE-151-18,2018,03-12-2018,EQUIPO,PABELLÓN,,02 VIDEODUODENOSCOPIO,FUJIFILM,ZEPEDA,
AE-151-18,2018,03-12-2018,EQUIPO,PABELLÓN,,01 CARRO DE TRANSPORTE,ZEPEDA,ZEPEDA,
AE-151-18,2018,03-12-2018,EQUIPO,PABELLÓN,,01 PROCESADOR DE IMAGEN,FUJIFILM,ZEPEDA,
AE-151-18,2018,03-12-2018,EQUIPO,PABELLÓN,,01 FUENTE DE LUZ,FUJIFILM,ZEPEDA,
AE-151-18,2018,03-12-2018,EQUIPO,PABELLÓN,,01 MONITOR,,ZEPEDA,
AE-151-18,2018,03-12-2018,ACCESORIOS,PABELLÓN,,01 PROBADOR DE HERMETICIDAD,,,
AE-151-18,2018,03-12-2018,ACCESORIOS,PABELLÓN,,4 CEPILLOS DE LIMPIEZA,,,
AE-151-18,2018,03-12-2018,ACCESORIOS,PABELLÓN,,2 MALETAS DE TRANSPORTE,,,
AE-151-18,2018,03-12-2018,ACCESORIOS,PABELLÓN,,2 TAPA ETO,,,
AE-151-18,2018,03-12-2018,ACCESORIOS,PABELLÓN,,1 VÁLVULA AIRE/AGUA (PENDIENTE 8 VÁLVULAS),,,
AE-151-18,2018,03-12-2018,ACCESORIOS,PABELLÓN,,1 VÁLVULA DE SUCCIÓN (PENDIENTE 8 VÁLVULAS),,,
AE-151-18,2018,03-12-2018,ACCESORIOS,PABELLÓN,,4 FRASCOS DE SILICONA LUBRICANTE,,,
AE-151-18,2018,03-12-2018,ACCESORIOS,PABELLÓN,,4 FRASCOS DE ANTIEMPAÑANTE,,,
AE-151-18,2018,03-12-2018,ACCESORIOS,PABELLÓN,,4 CARROS DE LAVADO,,,
AE-151-18,2018,03-12-2018,ACCESORIOS,PABELLÓN,,1 ADAPTADOR DE TARJETA,,,
AE-152-18,2018,04-12-2018,ACCESORIOS,BLOQUE MÉDICO,,02 SENSORES SPO2,EXXIMMED,,
AE-154-18,2018,06-12-2018,EQUIPO,UPC,,02 HUMIDIFICADORES,HAMILTON,,
AE-153-18,2018,10-12-2018,EQUIPOS,UPC,,05 BOMBAS DE INFUSIÓN,HOSPIRA,HOSPIRA,
AE-155-18,2018,13-12-2018,EQUIPO,UPC,,01 MONITOR LED,SAMSUNG,SF355,
AE-156-18,2018,18-12-2018,EQUIPOS,PEDIATRÍA,,03 BOMBAS DE INFUSIÓN,HOSPIRA,ICUMEDICA,
AE-157-18,2018,18-12-2018,EQUIPOS,MEDICINA,,05 BOMBAS DE INFUSIÓN,HOSPIRA,ICUMEDICA,
AE-001-19,2019,02-01-2019,ACCESORIOS,SERVICIOS GENERALES,,01 REGULADOR DE OXÍGENO,,NEGAMET ,
AE-002-19,2019,04-01-2019,EQUIPO,ENDOSCOPIA,,01 VIDEO PANENDOSCOPIO,FUJIFILM,,
AE-003-19,2019,04-01-2019,ACCESORIO,UROLOGÍA,,01 CABLE ECG,BURDICK,,
AE-004-19,2019,04-01-2019,ACCESORIO,UCE,,01 REGULADOR DE OXÍGENO,,NEGAMET,
AE-005-19,2019,07-01-2019,ACCESORIO,PABELLÓN,,02 CABLES MULTIMED,DRAGER,,
AE-005-19,2019,07-01-2019,ACCESORIO,PABELLÓN,,02 SENSORES DE OXIMETRÍA,DRAGER,,
AE-005-19,2019,07-01-2019,ACCESORIO,PABELLÓN,,01 CABLE TRONCAL OXIMETRÍA,DRAGER,,
AE-006-19,2019,10-01-2019,EQUIPO,UPC,,01 VENTILADOR MECÁNICO,HAMILTON,,
AE-007-19,2019,10-01-2019,EQUIPO,UCE,,01 VENTILADOR MECÁNICO,HAMILTON,,
AE-008-19,2019,10-01-2019,EQUIPO,PABELLÓN,,01 FACOEMULSIFICADOR,JOHNSON&JOHNSON,SIGNATURE,
AE-009-19,2019,16-01-2019,ACCESORIOS,PABELLÓN QUIRÚRGICO CENTRAL,,01 PEDAL DE MOTOR,AESCULAP,,
AE-009-19,2019,16-01-2019,ACCESORIOS,PABELLÓN QUIRÚRGICO CENTRAL,,01 CONSOLA MOTOR NEUROCIRUGÍA,AESCULAP,,
AE-009-19,2019,16-01-2019,ACCESORIOS,PABELLÓN QUIRÚRGICO CENTRAL,,CAJA DE PROCEDIMIENTO CON 14 ACCESORIOS SEGÚN FOTO,AESCULAP,,
AE-009-19,2019,16-01-2019,ACCESORIOS,PABELLÓN QUIRÚRGICO CENTRAL,,01 ANILLO DE FRESA CRENEOTOMÍA ESTÁNDAR,AESCULAP,,
AE-009-19,2019,16-01-2019,ACCESORIOS,PABELLÓN QUIRÚRGICO CENTRAL,,01 ANILLO DE FRESA ROSETA,AESCULAP,,
AE-011-19,2019,17-01-2019,ACCESORIOS,UCE,,01 BATERÍAS DE MOTOR SYNTHES,SYNTHES,,
AE-013-19,2019,17-01-2019,ACCESORIOS,UPC,,04 UNIDADES DE SUCCIÓN,CENTRAL&UNIT,,
AE-015-19,2019,22-01-2019,ACCESORIOS,BLOQUE QUIRÚRGICO,,02 BOMBAS DE PRESIÓN NEGATIVA,SMITH&NETHEW,,
AE-015-19,2019,22-01-2019,ACCESORIOS,BLOQUE QUIRÚRGICO,,02 SOPORTE PARA FRASCO,SMITH&NETHEW,,
AE-016-19,2019,22-01-2019,ACCESORIOS,HOSPITALIZACIÓN DOMICILIARIA,,02 BOMBAS DE PRESIÓN NEGATIVA,SMITH&NETHEW,,
AE-016-19,2019,22-01-2019,ACCESORIOS,HOSPITALIZACIÓN DOMICILIARIA,,02 BOLSOS DE TRANSPORTE,SMITH&NETHEW,,
AE-016-19,2019,22-01-2019,ACCESORIOS,HOSPITALIZACIÓN DOMICILIARIA,,02 CORREAS DE TRANSPORTE,SMITH&NETHEW,,
AE-016-19,2019,22-01-2019,ACCESORIOS,HOSPITALIZACIÓN DOMICILIARIA,,02 TRANSFORMADOR DE 21 V,SMITH&NETHEW,,
AE-010-19,2019,23-01-2019,EQUIPO,ENDOSCOPIA,,VIDEOPANENDOSCOPIO,FUJIFILM,ZEPEDA,
AE-017-19,2019,30-01-2019,ACCESORIOS,PABELLÓN,,03 BOMBAS DE INFUSIÓN,HOSPIRA,,
AE-018-19,2019,30-01-2019,ACCESORIO,PABELLÓN QUIRÚRGICO,,01 TORNIQUETE,MEDIZINTE CHNIK GMBH,,
AE-019-19,2019,31-01-2019,ACCESORIO,UPC,,01 CABLE P1,EDWARDS LIFESCIENCES,,
AE-020-19,2019,05-02-2019,ACCESORIO,PADIATRÍA,,03 SENSOR SATURACIÓN,,,
AE-020-19,2019,05-02-2019,ACCESORIO,PEDIATRÍA,,01 SENSOR MULTISITIO,,,
AE-020-19,2019,05-02-2019,ACCESORIO,PEDIATRÍA,,01 SENSOR TEMPERATURA,,,
AE-020-19,2019,05-02-2019,ACCESORIO,PEDIATRÍA,,02 MANGO PEDIÁTRICO (PEQUEÑO),,,
AE-020-19,2019,05-02-2019,ACCESORIO,PEDIATRÍA,,01 MANGO PEDIÁTRICO (GRANDE),,,
AE-014-19,2019,11-02-2019,EQUIPO,CDT - OTORRINO,,01 RINO-FARINGO-LARINGO-FIBROSCOPIO ,STORZ,,
AE-021-19,2019,20-02-2019,ACCESORIO,PABELLÓN,,01 ADAPTADOR DE SIERRA,SYNTHES,,
AE-022-19,2019,20-02-2019,EQUIPO,BLOQUE MÉDICO,,01 MONITOR MULTIPARÁMETROS,NIHON KOHDEN,,
AE-023-19,2019,20-02-2019,EQUIPO,BLOQUE QUIRÚRGICO,,01 MONITOR MULTIPARÁMETROS,NIHON KOHDEN,,
AE-024-19,2019,22-02-2019,ACCESORIOS,UCA,,50 BOMBAS DE NUTRICIÓN ENTERAL ,FRESENIUS KABI,,
AE-025-19,2019,26-02-2019,ACCESORIO,CDT,,01 SONDA DE ESTIMULACIÓN ELECTROMIÓGRAFO,NICOLET,,
AE-026-19,2019,26-02-2019,EQUIPO,GINECOLOGÍA Y OBSTETRICIA,,01 IMPEDANCIOMETRO,INTERACOUSTICS,,
AE-027-19,2019,04-03-2019,ACCESORIO,URGENCIA,,01 REGULADOR DE OXÍGENO,,,
AE-028-19,2019,06-03-2019,EQUIPOS,UCI,,05 BOMBAS DE INFUSIÓN,HOSPIRA,,
AE-029-19,2019,13-03-2019,ARTÍCULOS,PABELLÓN AMBULATORIO,,08 CABLES DE PODER,,,
AE-030-19,2019,19-03-2019,EQUIPO,POLI CLÍNICO NEUROLOGÍA,,01 MONITOR DESFIBRILADOR,,,
AE-030-19,2019,19-03-2019,EQUIPO,POLI CLÍNICO NEUROLOGÍA,,01 BOMBA DE ASPIRACIÓN,,,
AE-031-19,2019,20-03-2019,EQUIPO,ENDOSCOPIA,,VIDEOCOLONOSCOPIO,,,
AE-032-19,2019,25-03-2019,EQUIPO,PABELLÓN,,MONITOR LED FORESEESON 26 FULL HD,STORZ,,
AE-032-19,2019,25-03-2019,EQUIPO,PABELLÓN,,IMAGE 1 CONNECT UNIDAD CONTROL DE CÁMARA,STORZ,,
AE-032-19,2019,25-03-2019,EQUIPO,PABELLÓN,,"IMAGE 1 H3 LINK, M. ENLACE PARA USAR CON CABEZAL DE CÁMARA DE 3 CHPS",STORZ,,
AE-032-19,2019,25-03-2019,EQUIPO,PABELLÓN,,FUENTE DE LUZ POWER LED,STORZ,,
AE-032-19,2019,25-03-2019,EQUIPO,PABELLÓN,,UNIDRIVE,STORZ,,
AE-032-19,2019,25-03-2019,EQUIPO,PABELLÓN,,02 PIEZA DE MANO SHAVER,STORZ,,
AE-032-19,2019,25-03-2019,EQUIPO,PABELLÓN,,ARTHROPUMP POWER,STORZ,,
AE-033-19,2019,28-03-2019,EQUIPO,CDT - POLI CLÍNICO OTORRINO,,BERA,INTERACOUSTCS,,
AE-034-19,2019,28-03-2019,EQUIPO,ENDOSCOPIA,,VIDEOPANENDOSCOPIO PEDIÁTRICO,FUJIFILM,,
AE-035-19,2019,28-03-2019,EQUIPO,UPC,,ECÓGRAFO PORTÁTIL,GENERAL ELECTRIC,,
AE-036-19,2019,02-04-2019,ACCESORIO,MEDICINA NUCLEAR,,01 SET ECG,SCHILLER,,
AE-037-19,2019,02-04-2019,ACCESORIO,URGENCIA,,01 SET ECG,SCHILLER,,
AE-038-19,2019,04-04-2019,ACCESORIO,PABELLÓN,,01 TORNILLO DERMÁTOMO,AESCULAP,,
AE-039-19,2019,08-04-2019,EQUIPO,CDT - ENDOSCOPIA,,VIDEOCOLONOSCOPIO TERAPEÚTICO ESTANDAR,FUJIFILM,,
AE-040-19,2019,09-04-2019,ACCESORIO,UPC,,08 CABLE P1,ICUMEDICAL,,
AE-041-19,2019,09-04-2019,ACCESORIO,PABELLÓN,,04 CABLE P1,ICUMEDICAL,,
AE-042-19,2019,09-04-2019,EQUIPO,PABELLÓN,,01 FACOEMULSIFCADOR,ABBOTT,,
AE-042-19,2019,09-04-2019,ACCESORIO,PABELLÓN,,01 PEDAL,NA,,
AE-043-19,2019,12-04-2019,EQUIPO,POLI CARDIOLOGÍA,,IMPRESORA,BROTHER,,
AE-044-19,2019,15-04-2019,EQUIPO,OTORRINO,,BERA,INTERACOUSTICS,,
AE-045-19,2019,15-04-2019,EQUIPO,PABELLÓN,,,BAIR HUGGER,,
AE-045-19,2019,16-04-2019,EQUIPO,CDT - ENDOSCOPIA,,RECHAZADA ,,,
AE-046-19,2019,18-04-2019,EQUIPO,CDT - ENDOSCOPIA,,VIDEOPANENDOSCOPIO ADULTO,FUJINON,ZEPEDA,
AE-047-19,2019,26-04-2019,EQUIPO,PEDIATRÍA,,02 BOMBAS DE INFUSIÓN,HOSPIRA,,
AE-048-19,2019,26-04-2019,EQUIPO,IMAGENOLOGÍA,,MEDIMAXKOREA,UNIDAD DE SUCCIÓN,,
AE-048-19,2019,26-04-2019,EQUIPO,IMAGENOLOGÍA,,C&U,U. OXÍGENO COMPLETA,,
AE-049-19,2019,30-04-2019,EQUIPO,UCI,,VENTILADOR MECÁNICO,HAMILTON,REPETUR Y COMPAÑÍA L.,
AE-050-19,2019,30-04-2019,EQUIPO,SGO,,01 BOMBA DE INSUFIÓN,HOSPIRA,,
AE-051-19,2019,30-04-2019,EQUIPO,HOSPITALIZACIÓN DOMICILIARIA,,02 EQUIPOS,ATMOS,,
AE-052-19,2019,02-05-2019,ACCESORIOS,PABELLÓN,,01 MANGO DE PLÁSTICO C/CREMALLERA,RUDOLF,RUDOLF,
AE-052-19,2019,02-05-2019,ACCESORIOS,PABELLÓN,,01 TROCAR DE SEGURIDAD,RUDOLF,RUDOLF,
AE-053-19,2019,02-05-2019,ACCESORIOS,PABELLÓN,,01 ÓPTICA HOPKINS ENDOCAMALEON,REICH,REICH,
AE-053-19,2019,02-05-2019,ACCESORIOS,PABELLÓN,,CAJA ESTERILIZACIÓN PARA 2 ENDOSCOPIOS RIGIDOS Y UN CABLE,REICH,RECH,
AE-054-19,2019,06-05-2019,EQUIPO,UROLOGÍA,,01 BOMBA DE INFUSIÓN,HOSPIRA,,
AE-055-19,2019,06-05-2019,EQUIPOS,UPC,,03 COMPRESOR NEUMATICO,KENDALL,,
AE-056-19,2019,06-05-2019,EQUIPOS,UCE,,03 UNIDAD DE SUCCIÓN,,,
AE-057-19,2019,08-05-2019,EQUIPOS,UPC,,04 BOMBAS DE INFUSIÓN,HOSPIRA,,
AE-058-19,2019,08-05-2019,EQUIPO,CDT - ENDOSCOPIA,,01 VIDEOPANENDOSCOPIO PEDIÁTRICO,FUJINON,ZEPEDA,
AE-059-19,2019,10-05-2019,EQUIPO,CDT - ENDOSCOPIA,,VIDEOPANENDOSCOPIO PEDIÁTRICO,FUJINON,ZEPEDA,
AE-060-19,2019,16-05-2019,EQUIPO,CDT - ENDOSCOPIA,,VIDEOCOLONOSCOPIO,FUJINON,ZEPEDA,
AE-061-19,2019,17-05-2019,ACCESORIOS,PABELLÓN QUIRÚRGICO CENTRAL,,01 CONTROL REMOTO PARA MESA QUIRÚRGICA,MAQUET,,
AE-061-19,2019,17-05-2019,ACCESORIOS,PABELLÓN QUIRÚRGICO CENTRAL,,01 CABLE PARA CONTROL REMOTO,MAQUET,,
AE-062-19,2019,20-05-2019,EQUIPO,CDT - ENDOSCOPIA,,VIDEOPANENDOSCOPIO,FUJIFILM,ZEPEDA,
AE-063-19,2019,22-05-2019,EQUIPO,UPC,,"01 UNIDAD DE SUCCIÓN, 01 UNIDAD DE AIRE, 03 UNIDAD DE OXÍGENO",C&U,,
AE-064-19,2019,24-05-2019,EQUIPO,CDT,,01 MONITOR DE PACIENTE,PHILIPS,ANDOVER,
AE-065-19,2019,28-05-2019,EQUIPO,PEDIATRÍA,,03 BOMBAS DE INFUSIÓN,HOSPIRA,,
AE-066-19,2019,30-05-2019,EQUIPAMIENTO,URGENCIA,,02 UNIDAD DE SUCCIÓN,C&U,OXIMED,
AE-066-19,2019,30-05-2019,EQUIPAMENTO,URGENCIA,,02 FLUJÓMETRO CON BASE HUMIDIFICADORA DE OXÍGENO,C&U,OXIMED,
AE-067-19,2019,03-06-2019,EQUIPO,PRE PARTO,,01 BOMBA DE INFUSIÓN,HOSPIRA,ICUMEDICAL,
AE-068-19,2019,04-06-2019,ACCESORIO,POLI CLÍNICO OTORRINO,,01 AUDÍFONO DE EQUIPO BERA,RADIOEAR,GAES,
AE-069-19,2019,13-06-2019,ACCESORIOS,UPC,,02 UNIDAD DE OXÍGENO,C&U,,
AE-070-19,2019,13-06-2019,EQUIPO,BLOQUE QUIRÚRGICO,,01 MONITOR MULTIPARÁMETROS,NIHON KOHDEN,ARQUIMED,
AE-070-19,2019,13-06-2019,EQUIPO,PABELLÓN,,"01 CABLES TRONCAL SPO2 , 04 SENSORES DE OXIMETRÍA",MASIMO,,
